year,state,region,diabetes,kidney_disease,pulmonary_disease,obese,no_leisure,overweight,healthy_weight
2011,AK,West,7.9,5,5.2,27.4,22,66.3,32.3
2011,AL,South,11.8,2.7,9.6,32,32.6,66.7,31.3
2011,AR,South,10.4,3,8,30.9,30.9,64.9,32.8
2011,AZ,West,9.5,3.5,5.3,25.1,24.1,62.3,35.1
2011,CA,West,8.9,2.6,4.6,23.8,19.1,60.2,37.7
2011,CO,West,6.7,2.2,4.6,20.7,16.5,56.1,41.6
2011,CT,Northeast,9.3,1.9,6.1,24.5,25.5,59.6,38.4
2011,DC,South,9.1,2.7,4.6,23.7,19.8,52.9,45.4
2011,DE,South,9.7,2.5,5.2,28.8,27,63.8,34.6
2011,FL,South,10.4,3.2,7.9,26.6,26.9,63.3,34.9
2011,GA,South,10.2,2.8,7,28,26.7,62.7,35.3
2011,HI,West,8.4,3.3,4.4,21.8,21.3,55.7,41.6
2011,IA,Midwest,8.2,1.5,5.1,29,25.9,64.8,33.7
2011,ID,West,9.4,2.4,5.2,27,21.4,62.3,35.5
2011,IL,Midwest,9.7,2.8,6.1,27.1,25.1,64.1,34.1
2011,IN,Midwest,10.2,2.1,8.3,30.8,29.2,65.6,32.4
2011,KS,Midwest,9.5,2.3,6.6,29.6,26.8,64.4,33.8
2011,KY,South,10.8,2.5,9.8,30.4,29.3,66.5,31.6
2011,LA,South,11.8,2.6,6.9,33.4,33.8,67.6,30.6
2011,MA,Northeast,8,1.9,5.8,22.7,23.5,59.3,38.8
2011,MD,South,9.5,1.9,5.9,28.3,26.2,64.4,33.9
2011,ME,Northeast,9.6,2.4,7.8,27.8,23,65,33.4
2011,MI,Midwest,10,3,8,31.3,23.6,65.4,33
2011,MN,Midwest,7.3,1.7,4.1,25.7,21.9,62.4,35.8
2011,MO,Midwest,10.2,2.3,8.1,30.3,28.4,64.8,33.6
2011,MS,South,12.3,2.4,8.3,34.9,36,68.9,28.9
2011,MT,West,8,2.5,6,24.6,24.4,60.3,38.3
2011,NC,South,10.9,2.2,6.9,29.1,26.7,65.1,33.3
2011,ND,Midwest,8.2,1.9,4.7,27.8,27.1,63.8,34.5
2011,NE,Midwest,8.4,2.2,5,28.4,26.3,64.9,33.5
2011,NH,Northeast,8.7,2.4,6.4,26.2,22.5,61.6,36.5
2011,NJ,Northeast,8.8,2,5.1,23.7,26.4,61.5,36.8
2011,NM,West,9.9,3,6.2,26.3,25.3,62.2,35.5
2011,NV,West,10.3,2.5,7.3,24.5,24.3,60.2,37.2
2011,NY,Northeast,10.4,2.9,5.9,24.5,26.3,60.3,37.6
2011,OH,Midwest,10,2.5,7.7,29.6,27,65.9,32.4
2011,OK,South,11.1,3.1,8.6,31.1,31.2,65.4,32.6
2011,OR,West,9.3,2.4,5.9,26.7,19.8,61.5,36.4
2011,PA,Northeast,9.5,2.5,6.7,28.6,26.2,64.5,33.9
2011,RI,Northeast,8.4,2.3,6.3,25.4,26.2,62.4,36.3
2011,SC,South,12.1,2.2,7.6,30.8,27.2,65.9,32.3
2011,SD,Midwest,9.5,2,5.5,28.1,27,64.4,34.3
2011,TN,South,11.2,2.1,9.2,29.2,35.1,66.5,31.4
2011,TX,South,10.2,2.6,5.5,30.4,27.2,65.8,32.4
2011,UT,West,6.7,2.8,4,24.4,18.9,58.9,38.8
2011,VA,South,10.4,1.9,6.2,29.2,25,63.3,35.5
2011,VT,Northeast,7.7,2.2,5,25.4,21,59.8,38.6
2011,WA,West,8.9,2.3,4.1,26.5,22,61,37
2011,WI,Midwest,8.4,2.1,5.4,27.7,22.7,64,34.4
2011,WV,South,12,2.8,8.8,32.4,35.1,68.9,28.6
2011,WY,West,8.2,2.2,6.1,25,25.5,61.3,37
2012,AK,West,7,2.2,5.1,25.7,18.5,64.8,34.4
2012,AL,South,11.2,2.4,9.9,33,27.2,67.7,30.6
2012,AR,South,11.3,2.8,8.8,34.5,31.5,68.7,29.5
2012,AZ,West,10.6,3.7,6,26,22.6,62,35.6
2012,CA,West,9.8,2.5,4.6,25,19.2,60.3,37.8
2012,CO,West,7.4,1.9,4.8,20.5,17,55.7,42
2012,CT,Northeast,9.1,2.3,5.4,25.6,22.1,62.3,36.1
2012,DC,South,8.2,2.5,4.5,21.9,17.4,51.9,46
2012,DE,South,9.6,2.5,7.1,26.9,23.5,66,32.5
2012,FL,South,11.4,3.5,7.6,25.2,23.3,62.1,36.4
2012,GA,South,9.9,3.4,7.1,29.1,23.6,64.6,33.3
2012,HI,West,7.8,3.6,3.6,23.6,18.7,56,41.2
2012,IA,Midwest,8.8,2.1,6.2,30.4,23.1,64.7,33.5
2012,ID,West,8.5,2.1,5.3,26.8,20.3,62.5,35.7
2012,IL,Midwest,9.4,2.7,6,28.1,21.8,64,33.8
2012,IN,Midwest,10.9,2.9,7.6,31.4,25.9,65.5,32.8
2012,KS,Midwest,9.4,2,6,29.8,22.9,65.6,32.4
2012,KY,South,10.7,3,11.2,31.3,29.7,66.9,31.1
2012,LA,South,12.3,2.5,7.5,34.7,29.9,69.6,28.5
2012,MA,Northeast,8.3,1.8,5.4,22.9,19.8,58.8,39.2
2012,MD,South,10.2,2.4,5.5,27.6,23.1,63.8,34.2
2012,ME,Northeast,9.7,2.4,7.8,28.3,20.9,64.2,34.3
2012,MI,Midwest,10.5,3.4,7.4,31.1,23.3,65.6,32.8
2012,MN,Midwest,7.3,2.1,4.3,25.7,17.6,63,35.4
2012,MO,Midwest,10.7,2.8,8.1,29.6,24.7,65.7,32.4
2012,MS,South,12.5,2.9,6.7,34.6,30.8,68.9,29.3
2012,MT,West,7.2,2.3,6.1,24.3,20.5,61.3,37.1
2012,NC,South,10.4,2.6,6.8,29.6,24.9,65.8,32.4
2012,ND,Midwest,8.6,2.1,4.2,29.7,23.8,66.2,32
2012,NE,Midwest,8.1,2.4,5.3,28.6,21,65,33.3
2012,NH,Northeast,9.1,2.8,5.9,27.3,20,62.1,36.5
2012,NJ,Northeast,9.3,2.3,5.6,24.6,24.9,61.6,36.5
2012,NM,West,10.3,3.6,6.7,27.1,21.8,62.8,35
2012,NV,West,8.5,3.3,7.5,26.2,21.3,62.5,34.8
2012,NY,Northeast,9.7,2.3,6.2,23.6,24.7,60.6,36.9
2012,OH,Midwest,11.7,2.5,8.6,30.1,25.3,65.3,32.9
2012,OK,South,11.5,2.5,7.5,32.2,28.3,67.8,30.3
2012,OR,West,9.9,2.7,6.2,27.3,16.3,61.2,37.2
2012,PA,Northeast,10.2,2.4,6.7,29.1,23.5,64.9,33.3
2012,RI,Northeast,9.8,2.4,6.5,25.7,23.6,62.9,35.5
2012,SC,South,11.6,2.6,7.5,31.6,25.1,66.1,32.4
2012,SD,Midwest,7.8,2.3,4.9,28.1,22.5,66.1,32.4
2012,TN,South,11.9,2.5,9.4,31.1,28.6,65.4,32.7
2012,TX,South,10.6,2.9,5.2,29.2,27.2,65.1,33.2
2012,UT,West,7.2,3,3.8,24.3,16.5,57.8,40.4
2012,VA,South,10.6,1.9,6.1,27.4,22.5,63.6,34.4
2012,VT,Northeast,7.3,2.2,6,23.7,17.2,60.3,38
2012,WA,West,8.8,3.2,5.7,26.8,19,62.2,36
2012,WI,Midwest,8.3,2,5.1,29.7,20.4,66.4,31.8
2012,WV,South,13,3.6,10.5,33.8,31,68.3,30
2012,WY,West,9.1,3,7,24.6,21.1,63.3,35.1
2013,AK,West,7.1,1.7,5.5,28.4,22.3,66.1,32.8
2013,AL,South,13.8,2.9,10.3,32.4,31.5,68.2,30.5
2013,AR,South,11.5,3.1,9,34.6,34.4,69.9,27.7
2013,AZ,West,10.7,3.3,7.1,26.8,25.2,61.8,35.8
2013,CA,West,10.2,2.8,4.6,24.1,21.4,60.1,37.9
2013,CO,West,6.5,2,4.6,21.3,17.9,56.4,41.6
2013,CT,Northeast,8.3,2.1,5.9,24.9,24.9,62.5,35.6
2013,DC,South,7.8,2.4,5.8,22.8,19.5,53.8,43
2013,DE,South,11.1,2.6,6,31,27.8,64.6,33.6
2013,FL,South,11.2,3.5,7.4,26.4,27.7,62.8,35
2013,GA,South,10.8,2.7,6.5,30.3,27.2,65.7,32.4
2013,HI,West,8.4,3.1,4.7,21.8,22.1,55.4,42.3
2013,IA,Midwest,9.3,2.2,6.3,31.3,28.5,67,31.6
2013,ID,West,8.4,2,4.4,29.6,23.7,64.9,33.2
2013,IL,Midwest,9.9,2.4,5,29.4,25.1,64.7,33
2013,IN,Midwest,11,2.5,8,31.8,31,67.3,31.1
2013,KS,Midwest,9.6,2.1,6.2,30,26.5,65.3,33
2013,KY,South,10.6,2.7,10.9,33.2,30.2,67.3,30.6
2013,LA,South,11.6,2.2,7.5,33.1,32.2,67.4,30.6
2013,MA,Northeast,8.5,2.1,5.7,23.6,23.5,58,40.1
2013,MD,South,9.8,2.2,5.4,28.3,25.3,64.1,34.1
2013,ME,Northeast,9.6,2.3,7.1,28.9,23.3,64.8,33.7
2013,MI,Midwest,10.4,3,8.8,31.5,24.4,66.2,32.5
2013,MN,Midwest,7.4,1.9,4.3,25.5,23.5,61.1,37.2
2013,MO,Midwest,9.6,2,7.6,30.4,28.3,65.5,32.6
2013,MS,South,12.9,2.8,8.7,35.1,38.1,69.3,29.1
2013,MT,West,7.7,2.5,6.5,24.6,22.5,61.4,37
2013,NC,South,11.4,2.6,7.4,29.4,26.6,66.1,32.2
2013,ND,Midwest,8.9,2.6,4.8,31,27.6,67.6,30.9
2013,NE,Midwest,9.2,2,5.3,29.6,25.3,65.5,32.5
2013,NH,Northeast,9.2,2.7,7.1,26.7,22.4,61.8,36.4
2013,NJ,Northeast,9.2,2.4,5.9,26.3,26.8,62.8,35.4
2013,NM,West,10.7,3,5.9,26.4,24.3,62.7,35.3
2013,NV,West,9.6,3.7,6.7,26.2,23.7,64.9,33.4
2013,NY,Northeast,10.6,2.1,5.7,25.4,26.7,61.3,36.3
2013,OH,Midwest,10.4,2.4,8.3,30.4,28.5,65.1,33.1
2013,OK,South,11,3.3,7.8,32.5,33,67.9,30.1
2013,OR,West,9.2,3,6.5,26.5,18.5,59.9,38
2013,PA,Northeast,10.1,2.4,7.1,30,26.3,64.5,33.7
2013,RI,Northeast,9.3,2,7.4,27.3,26.9,64.6,33.6
2013,SC,South,12.5,2.3,8.1,31.7,26.9,66.5,32.1
2013,SD,Midwest,9.1,2.5,4.5,29.9,23.8,67,31.4
2013,TN,South,12.2,2.3,9.5,33.7,37.2,68.4,29.8
2013,TX,South,10.9,3.1,5.4,30.9,30.1,66.1,31.9
2013,UT,West,7.1,3,4,24.1,20.6,59.2,38.6
2013,VA,South,9.8,2.4,6.6,27.2,25.5,64,34.2
2013,VT,Northeast,7.8,2,5.7,24.7,20.5,61.9,36.6
2013,WA,West,8.6,3.4,5.6,27.2,20,61.4,36.7
2013,WI,Midwest,8.2,2.4,5.7,29.8,23.8,66.5,31.4
2013,WV,South,13,3.3,10.6,35.1,31.4,68.8,29.5
2013,WY,West,8.6,2.8,7.1,27.8,25.1,64.4,34.1
2014,AK,West,7.4,2.1,4.4,29.7,19.2,64.8,34
2014,AL,South,12.9,3,10.2,33.5,27.6,67,31.4
2014,AR,South,12.7,3,9,35.9,30.7,70.6,27.6
2014,AZ,West,10,3.5,6.9,28.9,21.2,64,33.8
2014,CA,West,10.3,2.4,4.9,24.7,21.7,59.7,37.7
2014,CO,West,7.3,2.4,4,21.3,16.4,57.4,40.5
2014,CT,Northeast,9.2,2.5,5.1,26.3,20.6,60.4,38.1
2014,DC,South,8.4,2.2,5.6,21.7,20.8,54.9,43.1
2014,DE,South,11.1,3.5,6.5,30.7,24.9,67.4,31.1
2014,FL,South,11.2,3.8,7.6,26.2,23.7,62.2,35.7
2014,GA,South,11.6,3,7.4,30.5,23.6,65.7,32.2
2014,HI,West,9.8,4.2,3.8,22.1,19.6,58.1,39.5
2014,IA,Midwest,9.5,2.7,5.7,30.9,22.6,66.9,31.7
2014,ID,West,7.6,2.5,4.9,28.9,18.7,65.7,32.8
2014,IL,Midwest,10.1,2.7,5.8,29.3,23.9,63.8,34.2
2014,IN,Midwest,10.7,2.7,8.7,32.7,26.1,66.5,31.4
2014,KS,Midwest,10.3,2.6,6.6,31.3,23.8,66,32.3
2014,KY,South,12.5,3.5,12.3,31.6,28.2,66.7,30.8
2014,LA,South,11.3,2.9,7.6,34.9,29.5,68.9,29.6
2014,MA,Northeast,9.7,3.1,6.5,23.3,20.1,58.9,38.7
2014,MD,South,10.1,2.9,5.7,29.6,21.4,64.9,33.5
2014,ME,Northeast,9.5,2.3,7.8,28.2,19.7,64.5,33.8
2014,MI,Midwest,10.4,3.3,8.8,30.7,25.5,65.6,32.5
2014,MN,Midwest,8.1,2.1,4.4,27.6,20.2,64.1,34.5
2014,MO,Midwest,11.1,2.4,8.2,30.4,25,65.6,32.9
2014,MS,South,13,2.9,7.4,35.5,31.6,70.7,27.7
2014,MT,West,8.8,2.6,6.8,26.4,19.6,63,35.2
2014,NC,South,10.8,2.6,7.8,29.7,23.2,65.6,32.5
2014,ND,Midwest,8.6,2.2,4.7,32.2,21.3,68.8,29.8
2014,NE,Midwest,9.2,2.1,5.8,30.2,21.3,66.7,31.7
2014,NH,Northeast,9.1,2.1,6.5,27.4,19.3,63.6,35
2014,NJ,Northeast,9.7,2.4,5.6,26.9,23.3,63.1,35.1
2014,NM,West,11.5,3.3,5.7,28.4,23.3,64.9,33.4
2014,NV,West,9.6,3.2,6.9,27.7,22.5,63.5,34
2014,NY,Northeast,10,2,5.8,27,25.9,61.1,37
2014,OH,Midwest,11.7,2.9,8.2,32.6,25,66.7,31.6
2014,OK,South,12,2.6,8,33,28.3,68.2,29.9
2014,OR,West,9,3.4,5.7,27.9,16.5,61.7,35.9
2014,PA,Northeast,11.2,2.7,6.8,30.2,23.3,64.1,34.1
2014,RI,Northeast,9.4,2.4,5.7,27,22.5,62.4,36.1
2014,SC,South,12,2.7,7.6,32.1,25.3,67,31.4
2014,SD,Midwest,9.1,2.1,5.6,29.8,21.2,65.2,33.4
2014,TN,South,13,3.1,10.7,31.2,26.8,67.1,31.1
2014,TX,South,11,2.9,5.3,31.9,27.6,67.8,30.4
2014,UT,West,7.1,2.6,3.6,25.7,16.8,59.5,38.2
2014,VA,South,9.7,2.5,6.4,28.5,23.5,64.7,33.5
2014,VT,Northeast,7.9,2.8,6.3,24.8,19,60.2,38
2014,WA,West,8.9,2.8,6,27.3,18.1,63.4,34.5
2014,WI,Midwest,9,2.2,5.2,31.2,21.2,67.4,31.2
2014,WV,South,14.1,3.6,13.5,35.7,28.7,69.6,28.4
2014,WY,West,8.4,2.8,6.7,29.5,22.1,64.6,33.2
2015,AK,West,7.6,1.8,4,29.8,22,67.2,31.8
2015,AL,South,13.5,2.8,10.5,35.6,31.9,68.7,28.9
2015,AR,South,12.6,3.2,9.8,34.5,34.2,69.5,28.2
2015,AZ,West,10.1,3.8,6.4,28.4,24.7,65.3,32.6
2015,CA,West,10,2.4,4,24.2,20,60.3,38
2015,CO,West,6.8,2.5,4.3,20.2,17.9,56.6,41.2
2015,CT,Northeast,9.3,1.9,5.1,25.3,23.5,61.6,36.3
2015,DC,South,8.5,2.6,5.3,22.1,19.4,54.4,43.5
2015,DE,South,11.5,3.4,7.1,29.7,29.4,66.8,31.7
2015,FL,South,11.3,3,7,26.8,26.2,64.1,33.9
2015,GA,South,11.3,3,6.9,30.7,27.3,65.5,32.7
2015,HI,West,8.5,3.1,4.3,22.7,22.5,57,40.8
2015,IA,Midwest,8.8,1.9,5.7,32.1,26.3,66.7,32
2015,ID,West,8.1,1.8,4.9,28.6,21.2,65.2,32.9
2015,IL,Midwest,9.9,2.6,5.8,30.8,24.8,66.2,32.4
2015,IN,Midwest,11.4,2.8,8,31.3,29.4,66.5,31.8
2015,KS,Midwest,9.7,2.9,6.2,34.2,26.5,68,29.9
2015,KY,South,13.4,3,12.1,34.6,32.5,67.2,30.9
2015,LA,South,12.7,2.8,7.6,36.2,31.9,69.2,28.7
2015,MA,Northeast,8.9,2.4,5.7,24.3,26.5,59.7,38.4
2015,MD,South,10.3,2.3,6.1,28.9,24.1,65,32.8
2015,ME,Northeast,9.9,2.6,8.1,30,24.8,66.5,32
2015,MI,Midwest,10.7,3.4,7.7,31.2,25.5,66.2,32.1
2015,MN,Midwest,7.6,2,4.5,26.1,21.8,62.8,35.6
2015,MO,Midwest,11.5,2.7,8.4,32.4,27,66.3,31.7
2015,MS,South,14.7,2.9,7.8,35.6,36.8,70.1,28.2
2015,MT,West,7.9,2.5,5.7,23.6,22.5,61,37.3
2015,NC,South,10.7,2.8,7.4,30.1,26.2,65.8,32.7
2015,ND,Midwest,8.7,2.3,5.1,31,26.8,67,31.8
2015,NE,Midwest,8.8,2.4,5.4,31.4,25.3,67,31
2015,NH,Northeast,8.1,2.7,6.6,26.3,22.6,63.6,35.1
2015,NJ,Northeast,9,2,5,25.6,27.2,63.4,35
2015,NM,West,11.5,3,6.1,28.8,22.6,64.5,34
2015,NV,West,9.7,3.2,6.6,26.7,24.7,64.7,33.6
2015,NY,Northeast,9.8,2.1,5.7,25,29.3,59.5,38.4
2015,OH,Midwest,11,3.2,7.9,29.8,27,66.5,31.7
2015,OK,South,11.7,2.6,8.7,33.9,33.2,68.9,29.6
2015,OR,West,10.7,3.1,5.6,30.1,18.8,64.5,33.5
2015,PA,Northeast,10.4,2.7,7,30,27.8,66.2,32.1
2015,RI,Northeast,9,2.6,6.2,26,28.1,62.6,35.9
2015,SC,South,11.8,2.9,7.2,31.7,26.7,66.2,32
2015,SD,Midwest,9.3,2.1,5.6,30.4,21.5,64.5,34.3
2015,TN,South,12.7,3.5,9.6,33.8,30.4,68.7,29.9
2015,TX,South,11.4,2.7,5.1,32.4,29.5,68.7,29.5
2015,UT,West,7,2.6,3.7,24.5,20.3,59.6,38.3
2015,VA,South,10.3,2.3,5.7,29.2,25.1,64.1,34
2015,VT,Northeast,8.2,2.5,6.2,25.1,22.2,59.9,38.5
2015,WA,West,8.4,3.3,6.1,26.4,19,62.5,35.9
2015,WI,Midwest,8.4,2.2,4.7,30.7,21.6,66,32.7
2015,WV,South,14.5,3.6,13.3,35.6,30.8,71.1,26.9
2015,WY,West,8.4,2.8,7.2,29,26.2,65.4,32.9